fname,fprod,pi_name,s_site,l_area,date,team,drone_v,rgb_v,ms_v,f_start,f_stop,f_alt,f_spd,f_flap,f_slap,wx,proc,klau,flag
Zona_GTH89_250712,Z:\2025_Work\UAS_Processing\Zona_Donatella\Zona_GTH89_FULL_250712\1_Products,Donatella Zona,Lake 395 Thermokarst,South of Toolik Field Station,250712,RF AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,14:45,15:50,50,2.5,80,80,cloudy,Rd,TRUE,
Deegan_Hershey_250801,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_Hershey_250801\1_Products""",Linda Deegan,Hershey Creek,,250801,AC JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,13:51,14:18,100,5.1,80,80,sunny,Rd,TRUE,
Rocha_Unburn_250726,"""Z:\2025_Work\UAS_Processing\Rocha_Adrian\Unburn\1_Products""",Adrian Rocha,LTREB Unburned Plots,Anaktuvuk Burn,250726,AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,11:50,,35,1.7,80,80,,JN,TRUE,Point-based align to 2023 x7
Evans_Galbraith_240612,Z:\2024_Work\UAS_Processing\Evans_Sarah\Evans_Galbraith_240612\_Products,Sarah Evans,TGC3,Galbraith Lake,240612,RF JN Rd AC,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,,14:29,15:35,100,9.5,80,80,partly cloudy,Rd,TRUE,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
,,,,,,,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Ag Eagle Micasense Red Edge MX,,,,,,,,,,
