fname,fprod,pi_name,s_site,l_area,date,team,drone_v,rgb_v,ms_v,f_start,f_stop,f_alt,f_spd,f_flap,f_slap,wx,proc,klau,klau_base,flag
An_NorthernShruburbia_250731,"""Z:\2025_Work\UAS_Processing\An_Ruby\An_NorthernShruburbia_250731\1_Products""",Ruby An,"Northern ""Shruburbia""",Sagwon,250731,Rd AC JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,12:25,12:58,35,1.5,80,80,sunny,AC,TRUE,Sagwon ,
An_Sagwon_Shruburbia_250723,"""Z:\2025_Work\UAS_Processing\An_Ruby\An_Sagwon_Shruburbia_250723\1_Products""",Ruby An,"Northern ""Shruburbia""",Sagwon,250723,Rd AC JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:55,12:09,35,2,80,80,cloudy,AC,TRUE,Sagwon ,
An_Toolik_Shruburbia_250710,"""Z:\2025_Work\UAS_Processing\An_Ruby\An_Toolik_Shruburbia_250710\1_Products""",Ruby An,"Toolik ""Shruburbia""",Toolik,250710,Rd AC RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:09,14:18,35,1.7,80,80,sunny,AC,TRUE,TLK2,
An_ToolikShruburbia_250726,"""Z:\2025_Work\UAS_Processing\An_Ruby\An_ToolikShruburbia_250726\1_Products""",Ruby An,"Toolik ""Shruburbia""",Toolik,250726,AC Rd JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:45,14:15,35,1.7,80,80,briefly blue sky,Rd,TRUE,TLK2,
BlumeWerry_IceCut_250718,"""Z:\2025_Work\UAS_Processing\BlumeWerry_Gesche\BlumeWerry_IceCut_250718\1_Products""",Gesche Blume-Werry,an experimental snow fence site,near Ice Cut,250718,AC Rd JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,15:10,16:37,40,2,80,80,sunny ,Rd,TRUE,Ice Cut,
BlumeWerry_IceCut_250820,"""Z:\2025_Work\UAS_Processing\BlumeWerry_Gesche\BlumeWerry_IceCut_250820\1_Products""",Gesche Blume-Werry,an experimental snow fence site,near Ice Cut,250820,Rd RF JN MK,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:01,12:22,40,2,80,80,sunny,Rd,TRUE,Ice Cut,
Culha_GTH89_250818,"""Z:\2025_Work\UAS_Processing\Culha_Cansu\Culha_GTH89_250818\1_Products""",Cansu Culha,Lake 395/GTH89 Thermokarst,South of Toolik Field Station,250818,Rd RF JN MK,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:36,12:34,60,3.5,80,80,partly cloudy,JN,,,poor Klau aligned to 250712
Culha_GTH89_East_250712,"""Z:\2025_Work\UAS_Processing\Culha_Cansu\Culha_GTH89_East_250712\1_Products""",Cansu Culha,Lake 395/GTH89 East Thermokarst,South of Toolik Field Station,250712,RF Rd AC,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:26,14:41,40,2,80,80,partly cloudy,Rd,TRUE,Galbraith Rock,
Culha_TGC3_50m_250619,"""Z:\2025_Work\UAS_Processing\Culha_Cansu\Culha_TGC3_50m_250619\1_Products""",Cansu Culha,TGC3,Galbraith Lake,250619,JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:31,11:32,50,2.5,80,80,sunny,Rd,TRUE,Galbraith Rock,
Culha_TGC3_100m_250619,"""Z:\2025_Work\UAS_Processing\Culha_Cansu\Culha_TGC3_100m_250619\1_Products""",Cansu Culha,TGC3,Galbraith Lake,250619,JN Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,11:38,11:54,100,5.1,80,80,sunny,Rd,TRUE,Galbraith Rock,
Culha_TGC3_250716,"""Z:\2025_Work\UAS_Processing\Culha_Cansu\Culha_TGC3_250716\1_Products""",Cansu Culha,TGC3,Galbraith Lake,250716,Rd AC JN,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,15:05,16:12,50,2.5,80,80,cloudy,JN,TRUE,Galbraith Rock,
Culha_TGC3_250817,"""Z:\2025_Work\UAS_Processing\Culha_Cansu\Culha_TGC3_250817\1_Products""",Cansu Culha,TGC3,Galbraith Lake,250817,JN RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,14:19,15:46,50,2.5,80,80,sunny,JN,TRUE,Galbraith Rock ,
Deegan_ChrisCreek_250731,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_ChrisCreek_250731\1_Products""",Linda Deegan,Chris Creek,North Slope ,250731,JN AC Rd,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:46,11:12,100,5.1,80,80,sunny,Rd,TRUE,Happy Valley ,
Deegan_ClaraCreek_250802,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_ClaraCreek_250802\1_Products""",Linda Deegan,Clara Creek,Coldfoot Area,250802,Rd JN AC RF,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,10:26,11:13,100,5.1,80,80,sunny,Rd,TRUE,AB33,
Deegan_DanCreek_250719,"""Z:\2025_Work\UAS_Processing\Deegan_Linda\Deegan_DanCreek_250719\1_Products""",Linda Deegan,Dan Creek,North Slope ,250719,Rd JN AC ,DJI Matrice 210 v2,DJI Zenmuse x7 24mm RGB sensor,Micasense RedEdge-MX,13:08,13:25,100,5.1,80,80,sunny,Rd,TRUE,Ice Cut,
